Team Name,Plays,Wins,loses,Goals scored,Goals Allowed,Goals Differential,Points
拜仁慕尼黑,34,21,5,92,38,54,71
多特蒙德,34,22,7,83,44,39,71
RB莱比锡,34,20,8,64,41,23,66
柏林联合,34,18,8,51,38,13,62
弗赖堡,34,17,9,51,44,7,59
勒沃库森,34,14,12,57,49,8,50
法兰克福,34,13,10,58,52,6,50
沃尔夫斯堡,34,13,11,57,48,9,49
美因茨,34,12,12,54,55,-1,46
门兴格拉德巴赫,34,11,13,52,55,-3,43
科隆,34,10,12,49,54,-5,42
霍芬海姆,34,10,18,48,57,-9,36
云达不莱梅,34,10,18,51,64,-13,36
波鸿,34,10,19,40,72,-32,35
奥格斯堡,34,9,18,42,63,-21,34
斯图加特,34,7,15,45,57,-12,33
沙尔克04,34,7,17,35,71,-36,31
柏林赫塔,34,7,19,42,69,-27,29
