Player,Team Name,Assists
格雷罗,多特蒙德,12
科洛-穆阿尼,法兰克福,11
凯因茨,科隆,10
穆西亚拉,拜仁慕尼黑,10
米切尔-魏泽,云达不莱梅,9
普莱亚,门兴格拉德巴赫,9
霍夫曼,门兴格拉德巴赫,9
安赫利尼奥,霍芬海姆,9
托斯-穆勒,拜仁慕尼黑,8
布兰特,多特蒙德,8
索博斯洛伊,RB莱比锡,8
穆萨-迪亚比,勒沃库森,8
维默尔,沃尔夫斯堡,8
施廷德尔,门兴格拉德巴赫,7
贝克尔,柏林联合,7
福斯特,波鸿,7
萨内,拜仁慕尼黑,7
索萨,斯图加特,7
马伊纳,科隆,7
杰里米-弗林蓬,勒沃库森,7
特里梅尔,柏林联合,6
杜克施,云达不莱梅,6
基米希,拜仁慕尼黑,6
马库斯-图拉姆,门兴格拉德巴赫,6
斯万贝里,沃尔夫斯堡,6
镰田大地,法兰克福,6
安特维-阿德杰伊,波鸿,6
萨拉萨尔,沙尔克04,6
弗洛里安-维尔茨,勒沃库森,6
安东尼-容,云达不莱梅,5
菲尔克鲁格,云达不莱梅,5
阿莱,多特蒙德,5
马内,拜仁慕尼黑,5
格纳布里,拜仁慕尼黑,5
保罗-奥塔维奥,沃尔夫斯堡,5
格里福,弗赖堡,5
金斯利-科曼,拜仁慕尼黑,5
里希特,柏林赫塔,5
奥尔莫,RB莱比锡,5
马伦,多特蒙德,5
阿德耶米,多特蒙德,5
尼科-施洛特贝克,多特蒙德,5
费利克斯-恩梅加,沃尔夫斯堡,5
罗伊斯,多特蒙德,4
福斯贝里,RB莱比锡,4
远藤航,斯图加特,4
格雷戈里奇,弗赖堡,4
坎塞洛,拜仁慕尼黑,4
京特尔,弗赖堡,4
扬尼克-格哈特,沃尔夫斯堡,4
李在城,美因茨,4
恩昆库,RB莱比锡,4
马兹拉维,拜仁慕尼黑,4
贝里沙,奥格斯堡,4
堂安律,弗赖堡,4
阿方索-戴维斯,拜仁慕尼黑,4
德米罗维奇,奥格斯堡,4
鲁文-巴尔加斯,奥格斯堡,4
施塔赫,美因茨,4
贝林厄姆,多特蒙德,4
波尔特,沙尔克04,3
克拉马里奇,霍芬海姆,3
德雷克斯勒,沙尔克04,3
罗宾-克诺赫,柏林联合,3
米夏埃尔-弗雷,沙尔克04,3
阿诺德,沃尔夫斯堡,3
斯托格,波鸿,3
聚勒,多特蒙德,3
安德烈-席尔瓦,RB莱比锡,3
维尔纳,RB莱比锡,3
德米尔拜,勒沃库森,3
塞金,柏林联合,3
托比亚斯-莫尔,沙尔克04,3
埃迪米尔森-费尔南德斯,美因茨,3
罗兰-绍洛伊,弗赖堡,3
阿龙-马丁,美因茨,3
塞巴切乌,柏林联合,3
卢克巴吉奥,柏林赫塔,3
卡莱季奇,斯图加特,3
丹尼斯-盖格,霍芬海姆,3
斯特奇,云达不莱梅,3
施密德,云达不莱梅,3
埃朱克,柏林赫塔,3
鲍库,沃尔夫斯堡,3
巴雷罗,美因茨,3
鲍姆加特纳,霍芬海姆,3
卢卡-内茨,门兴格拉德巴赫,3
赫洛热克,勒沃库森,3
阿德利,勒沃库森,3
穆科科,多特蒙德,3
恩格斯,奥格斯堡,3
凯文-帕雷德斯,沃尔夫斯堡,3
蒂亚戈-托马斯,斯图加特,3
舒波-莫廷,拜仁慕尼黑,2
洛西利亚,波鸿,2
约维蒂奇,柏林赫塔,2
措勒,波鸿,2
原口元气,斯图加特,2
坎普尔,RB莱比锡,2
普拉滕哈特,柏林赫塔,2
吉塞尔曼,柏林联合,2
赫克托,科隆,2
奥尼西沃,美因茨,2
鲁西隆,柏林联合,2
斯塔菲利德斯,波鸿,2
丹尼-达科斯塔,美因茨,2
比当古,云达不莱梅,2
达布尔,霍芬海姆,2
西尔万-威德默,美因茨,2
霍夫曼,波鸿,2
格雷茨卡,拜仁慕尼黑,2
兰茨,法兰克福,2
卡拉曼,沙尔克04,2
安德里希,勒沃库森,2
阿达米扬,科隆,2
浅野拓磨,波鸿,2
亨里希斯,RB莱比锡,2
罗伯特-斯科夫,霍芬海姆,2
辛克格拉文,勒沃库森,2
霍勒,弗赖堡,2
马克西米利安-埃格施泰因,弗赖堡,2
安东,斯图加特,2
汉切-奥尔森,美因茨,2
布塔,法兰克福,2
博雷,法兰克福,2
塞尔达,柏林赫塔,2
图萨尔,柏林赫塔,2
板仓滉,门兴格拉德巴赫,2
帕拉西奥斯,勒沃库森,2
劳姆,RB莱比锡,2
古姆内,奥格斯堡,2
沙博特,科隆,2
卡巴克,霍芬海姆,2
雅各,奥格斯堡,2
巴克,勒沃库森,2
凯特尔,弗赖堡,2
菲里希,斯图加特,2
瓦格诺曼,斯图加特,2
雷纳,多特蒙德,2
姆武帕,斯图加特,2
伯卡特,美因茨,2
吕特,霍芬海姆,2
林德斯特伦,法兰克福,2
贝廖,奥格斯堡,2
卡明斯基,沃尔夫斯堡,2
西尔迪利亚,弗赖堡,2
艾哈迈达,斯图加特,2
蒂尔曼,科隆,2
