Player,Team Name,Assists
格列兹曼,马德里竞技,16
梅里诺,皇家社会,9
维尼修斯,皇家马德里,9
罗德里戈,皇家马德里,8
莱万多夫斯基,巴塞罗那,7
布里安-奥利万,西班牙人,7
德保罗,马德里竞技,7
奥斯曼-登贝莱,巴塞罗那,7
拉菲尼亚,巴塞罗那,7
罗伯托内,阿尔梅里亚,7
德马科斯,毕尔巴鄂竞技,6
达尼-罗德里格斯,马略卡,6
齐甘科夫,赫罗纳,6
贡巴乌,埃尔切,6
阿森西奥,皇家马德里,6
巴尔哈,奥萨苏纳,6
李刚仁,马略卡,6
奥罗斯,奥萨苏纳,6
阿莱士-巴尔德,巴塞罗那,6
大卫-席尔瓦,皇家社会,5
阿尔瓦罗-加西亚,巴列卡诺,5
阿莱士-加西亚,赫罗纳,5
卡莱斯-佩雷斯,塞尔塔,5
帕拉松,巴列卡诺,5
丘库埃泽,比利亚雷亚尔,5
塞希奥-卡梅略,巴列卡诺,5
贡萨洛-普拉塔,巴拉多利德,5
耶雷米-皮诺,比利亚雷亚尔,5
特雷霍,巴列卡诺,4
托尼-克罗斯,皇家马德里,4
帕雷霍,比利亚雷亚尔,4
布斯克茨,巴塞罗那,4
苏索,塞维利亚,4
巴勃罗-马费奥,马略卡,4
埃斯皮诺,加的斯,4
塞尔维,塞尔塔,4
布赖斯-门德斯,皇家社会,4
塞瓦略斯,皇家马德里,4
费德里科-巴尔韦德,皇家马德里,4
弗朗基-德容,巴塞罗那,4
路易斯-苏亚雷斯,阿尔梅里亚,4
安德烈-阿尔梅达,瓦伦西亚,4
尤尔根-拉森,塞尔塔,4
楚阿梅尼,皇家马德里,4
久保建英,皇家社会,4
吉利亚蒙,瓦伦西亚,4
罗德里戈-里克尔梅,赫罗纳,4
贝加,塞尔塔,4
尼科-威廉斯,毕尔巴鄂竞技,4
尼古拉-雅克松,比利亚雷亚尔,4
阿尔瑙-马丁内斯,赫罗纳,4
加维,巴塞罗那,4
莫德里奇,皇家马德里,3
本泽马,皇家马德里,3
劳尔-加西亚,毕尔巴鄂竞技,3
拉基蒂奇,塞维利亚,3
阿拉巴,皇家马德里,3
穆尼亚因,毕尔巴鄂竞技,3
阿尔巴,巴塞罗那,3
卡纳莱斯,皇家贝蒂斯,3
阿斯帕斯,塞尔塔,3
亚历克斯-比达尔,西班牙人,3
科克,马德里竞技,3
卡拉斯科,马德里竞技,3
赫拉德-莫雷诺,比利亚雷亚尔,3
塞尔希-达德尔,西班牙人,3
赖洛,马略卡,3
图,赫塔费,3
勒马尔,马德里竞技,3
阿莱士-莫雷诺,皇家贝蒂斯,3
索尔洛特,皇家社会,3
加亚,瓦伦西亚,3
米利亚,赫塔费,3
伊尼亚基-威廉斯,毕尔巴鄂竞技,3
韦达特-穆里奇,马略卡,3
博尔哈-伊格莱西亚斯,皇家贝蒂斯,3
邦贡达,加的斯,3
于纳尔,赫塔费,3
霍桑,埃尔切,3
恩巴尔巴,阿尔梅里亚,3
梅莱罗,阿尔梅里亚,3
贝斯加,毕尔巴鄂竞技,3
拉林,巴拉多利德,3
托尼-苏亚雷斯,赫罗纳,3
洛塞尔索,比利亚雷亚尔,3
佩德拉萨,比利亚雷亚尔,3
亚历杭德罗-波索,阿尔梅里亚,3
蒙铁尔,塞维利亚,3
哈维尔-加兰,塞尔塔,3
孔德,巴塞罗那,3
弗兰-加西亚,巴列卡诺,3
伊万-马丁,赫罗纳,3
帕普-盖伊,塞维利亚,3
若昂-菲利克斯,马德里竞技,3
