Player,Team Name,Goals
莱万多夫斯基,巴塞罗那,23
本泽马,皇家马德里,19
何塞卢,西班牙人,16
格列兹曼,马德里竞技,15
韦达特-穆里奇,马略卡,15
博尔哈-伊格莱西亚斯,皇家贝蒂斯,15
于纳尔,赫塔费,14
莫拉塔,马德里竞技,13
卡斯特利亚诺斯,赫罗纳,13
阿斯帕斯,塞尔塔,12
索尔洛特,皇家社会,12
尼古拉-雅克松,比利亚雷亚尔,12
贝加,塞尔塔,11
布莱斯维特,西班牙人,10
伊尼亚基-威廉斯,毕尔巴鄂竞技,10
维尼修斯,皇家马德里,10
桑切特,毕尔巴鄂竞技,10
斯图亚尼,赫罗纳,9
安赫尔-科雷亚,马德里竞技,9
阿森西奥,皇家马德里,9
帕拉松,巴列卡诺,9
久保建英,皇家社会,9
罗德里戈,皇家马德里,9
布季米尔,奥萨苏纳,8
路易斯-阿维拉,奥萨苏纳,8
布赖斯-门德斯,皇家社会,8
拉林,巴拉多利德,8
马约拉尔,赫塔费,8
恩-内斯里,塞维利亚,8
卡拉斯科,马德里竞技,7
赫拉德-莫雷诺,比利亚雷亚尔,7
莫拉莱斯,比利亚雷亚尔,7
卢卡斯-博耶,埃尔切,7
费德里科-巴尔韦德,皇家马德里,7
拉菲尼亚,巴塞罗那,7
普阿多,西班牙人,7
法蒂,巴塞罗那,7
比拉勒-图雷,阿尔梅里亚,7
拉梅拉,塞维利亚,6
塞尔希奥-莱昂,巴拉多利德,6
塞尔希-达德尔,西班牙人,6
佩雷-米利亚,埃尔切,6
古鲁泽塔,毕尔巴鄂竞技,6
拉法-米尔,塞维利亚,6
丘库埃泽,比利亚雷亚尔,6
尤斯廷-克鲁伊维特,瓦伦西亚,6
巴埃纳,比利亚雷亚尔,6
塞尔希奥-卡梅略,巴列卡诺,6
萨穆埃尔-利诺,瓦伦西亚,6
拉萨罗,阿尔梅里亚,6
李刚仁,马略卡,6
佩德里,巴塞罗那,6
尼科-威廉斯,毕尔巴鄂竞技,6
卡瓦尼,瓦伦西亚,5
德佩,马德里竞技,5
阿尔瓦罗-加西亚,巴列卡诺,5
奥斯曼-登贝莱,巴塞罗那,5
米利唐,皇家马德里,5
莫德里奇,皇家马德里,4
卡纳莱斯,皇家贝蒂斯,4
罗贝托,巴塞罗那,4
胡安米,皇家贝蒂斯,4
勒热纳,巴列卡诺,4
德托马斯,巴列卡诺,4
奥坎波斯,塞维利亚,4
巴斯克斯,皇家马德里,4
巴普蒂斯唐,阿尔梅里亚,4
卡斯蒂列霍,瓦伦西亚,4
埃斯卡兰特,加的斯,4
邦贡达,加的斯,4
恩巴尔巴,阿尔梅里亚,4
梅莱罗,阿尔梅里亚,4
庞塞,埃尔切,4
阿莱士-贝伦格尔,毕尔巴鄂竞技,4
莫伦特,埃尔切,4
奥亚萨瓦尔,皇家社会,4
费兰-托雷斯,巴塞罗那,4
路易斯-苏亚雷斯,阿尔梅里亚,4
莫利纳,马德里竞技,4
若昂-菲利克斯,马德里竞技,4
尤尔根-拉森,塞尔塔,4
罗德里戈-里克尔梅,赫罗纳,4
耶雷米-皮诺,比利亚雷亚尔,4
阿布德,奥萨苏纳,4
特雷霍,巴列卡诺,3
卡普埃,比利亚雷亚尔,3
帕雷霍,比利亚雷亚尔,3
塞费罗维奇,塞尔塔,3
古德利,塞维利亚,3
卢卡斯-佩雷斯,加的斯,3
菲德尔,埃尔切,3
亚历克斯-费尔南德斯,加的斯,3
达尼-罗德里格斯,马略卡,3
萨乌尔,马德里竞技,3
塞尔希-瓜迪奥拉,加的斯,3
戴维-洛佩斯,赫罗纳,3
威廉-卡瓦略,皇家贝蒂斯,3
索布里诺,加的斯,3
鲁文-阿尔卡拉斯,加的斯,3
阿库尼亚,塞维利亚,3
莫伊-戈麦斯,奥萨苏纳,3
奥利弗-托雷斯,塞维利亚,3
阿约塞-佩雷斯,皇家贝蒂斯,3
巴比奇,阿尔梅里亚,3
齐甘科夫,赫罗纳,3
穆尼尔,赫塔费,3
埃尔莫索,马德里竞技,3
贝斯加,毕尔巴鄂竞技,3
迪亚卡比,瓦伦西亚,3
卡莱斯-佩雷斯,塞尔塔,3
乌马尔-萨迪克,皇家社会,3
艾杜,塞尔塔,3
科梅萨尼亚,巴列卡诺,3
塞萨尔-蒙特斯,西班牙人,3
伊万-马丁,赫罗纳,3
胡安-米兰达,皇家贝蒂斯,3
蒙丘,巴拉多利德,3
拉马扎尼,阿尔梅里亚,3
巴雷内切亚,皇家社会,3
奥罗斯,奥萨苏纳,3
迭戈-洛佩斯,瓦伦西亚,3
何塞-赫尔,埃尔切,3
阿尔瑙-马丁内斯,赫罗纳,3
