Team Name,Plays,Wins,loses,Goals scored,Goals Allowed,Goals Differential,Points
巴黎圣日耳曼,38,27,7,89,40,49,85
朗斯,38,25,4,68,29,39,84
马赛,38,22,9,67,40,27,73
雷恩,38,21,12,69,39,30,68
里尔,38,19,9,65,44,21,67
摩纳哥,38,19,11,70,58,12,65
里昂,38,18,12,65,47,18,62
克莱蒙,38,17,13,45,49,-4,59
尼斯,38,15,10,48,37,11,58
洛里昂,38,15,13,52,53,-1,55
兰斯,38,12,11,45,45,0,51
蒙彼利埃,38,15,18,65,62,3,50
图卢兹,38,13,16,51,57,-6,48
布雷斯特,38,11,16,44,54,-10,44
斯特拉斯堡,38,9,16,51,59,-8,40
南特,38,7,16,37,55,-18,36
欧塞尔,38,8,19,35,63,-28,35
阿雅克肖,38,7,26,23,74,-51,26
特鲁瓦,38,4,22,45,81,-36,24
昂热,38,4,28,33,81,-48,18
