Player,Team Name,Assists
梅西,巴黎圣日耳曼,16
内马尔,巴黎圣日耳曼,11
卡贝拉,里尔,10
布里若,雷恩,10
若纳唐-克洛斯,马赛,9
索托卡,朗斯,9
卡约-恩里克,摩纳哥,9
范登博门,图卢兹,8
巴尔科拉,里昂,8
阿德里安-托马森,朗斯,7
戈洛温,摩纳哥,7
若纳唐-班巴,里尔,7
卡克雷,里昂,7
本耶德尔,摩纳哥,6
德尔卡斯蒂略,布雷斯特,6
姆巴佩,巴黎圣日耳曼,6
贝勒加德,斯特拉斯堡,6
安赫尔-戈麦斯,里尔,6
弗利普斯,兰斯,6
谢尔基,里昂,6
肖塔尔,蒙彼利埃,6
特吕费尔,雷恩,6
拉卡泽特,里昂,5
贝莱利,阿雅克肖,5
罗尼-洛佩斯,特鲁瓦,5
塞科-福法纳,朗斯,5
奥诺拉,布雷斯特,5
里斯-米卢,布雷斯特,5
卢多维奇-布拉斯,南特,5
伊东纯也,兰斯,5
马艾萨,蒙彼利埃,5
马耶尔,雷恩,5
阿布哈拉勒,图卢兹,5
勒费埃,洛里昂,5
瓦希,蒙彼利埃,5
努诺-门德斯,巴黎圣日耳曼,5
丹戈-瓦塔拉,洛里昂,5
沙伊比,图卢兹,5
托科-埃卡姆比,雷恩,4
萨瓦尼耶,蒙彼利埃,4
贝尔纳特,巴黎圣日耳曼,4
本塔莱布,昂热,4
努诺-达科斯塔,欧塞尔,4
哈马里-特拉奥雷,雷恩,4
西蒙,南特,4
拉斐尔-拉唐,图卢兹,4
热代翁-卡卢卢,洛里昂,4
云代尔,马赛,4
泰里耶,雷恩,4
奥蓬达,朗斯,4
贡多齐,马赛,4
法昆多-梅迪纳,朗斯,4
热格罗瓦,里尔,4
费弗尔,洛里昂,4
迪奥普,尼斯,4
乔纳森-戴维,里尔,4
蓬索,洛里昂,4
凯夫伦-图拉姆,尼斯,4
查姆,克莱蒙,4
埃基蒂克,巴黎圣日耳曼,4
布阿纳尼,尼斯,4
万德松,摩纳哥,4
帕耶,马赛,3
桑切斯,马赛,3
若昂-加斯蒂安,克莱蒙,3
塔利亚菲科,里昂,3
拉沙尼,克莱蒙,3
卡佩勒,昂热,3
加埃唐-拉博德,尼斯,3
韦勒图,马赛,3
南野拓实,摩纳哥,3
格雷迪特,朗斯,3
伊西亚加-西拉,蒙彼利埃,3
鲍法尔,昂热,3
弗兰科夫斯基,朗斯,3
安德里奇,克莱蒙,3
赛义夫-埃丁-哈维,克莱蒙,3
基耶,克莱蒙,3
戴韦尔-马查多,朗斯,3
巴尔德,特鲁瓦,3
穆杰莱,巴黎圣日耳曼,3
克劳德-毛里斯,朗斯,3
法拉耶-萨科,蒙彼利埃,3
迪萨西,摩纳哥,3
阿什拉夫,巴黎圣日耳曼,3
诺尔丹,蒙彼利埃,3
穆内西,兰斯,3
古伊里,雷恩,3
莫菲,尼斯,3
加纳戈,南特,3
穆罕默德-卡马拉,摩纳哥,3
勒杜阿龙,布雷斯特,3
维蒂尼亚-费雷拉,巴黎圣日耳曼,3
卡利穆恩多-穆因加,雷恩,3
阿格巴杜,兰斯,3
戴维-科斯塔,朗斯,3
丹特,尼斯,2
哈莫马,阿雅克肖,2
弗兰德,摩纳哥,2
奥特雷,欧塞尔,2
肯尼-拉拉,布雷斯特,2
巴克利,尼斯,2
德莱纳,斯特拉斯堡,2
沙瓦林,特鲁瓦,2
若尔丹-费里,蒙彼利埃,2
莫莱,南特,2
朱利安,蒙彼利埃,2
阿卜杜勒哈米德,兰斯,2
泽内利,兰斯,2
德斯勒,图卢兹,2
桑松,斯特拉斯堡,2
托利索,里昂,2
安德烈-戈麦斯,里尔,2
泰特,雷恩,2
亚历山大-吉库,斯特拉斯堡,2
西奥布,昂热,2
保-洛佩斯,马赛,2
吉戈,马赛,2
隆吉耶,马赛,2
萨希,欧塞尔,2
恩博洛,摩纳哥,2
穆图萨米,南特,2
马尔凯蒂,阿雅克肖,2
马维迪迪,蒙彼利埃,2
法比安-鲁伊斯,巴黎圣日耳曼,2
易卜拉希马-西索科,斯特拉斯堡,2
凯文-丹索,朗斯,2
索莱尔,巴黎圣日耳曼,2
洛托姆巴,尼斯,2
尼古拉森,图卢兹,2
雨果-马格内蒂,布雷斯特,2
穆斯塔法-穆罕默德,南特,2
迪亚塔,摩纳哥,2
塔勒比,洛里昂,2
蒂莫西-维阿,里尔,2
阿卜杜-孔特,特鲁瓦,2
雅各布斯,摩纳哥,2
安德烈亚斯-布鲁斯,特鲁瓦,2
布道伊,尼斯,2
西纳约科,欧塞尔,2
阿卜杜利,昂热,2
优素福-福法纳,摩纳哥,2
盖桑,南特,2
巴洛贡,兰斯,2
多库,雷恩,2
莱佩南,里昂,2
比拉勒-卜拉希米,尼斯,2
泰特,里昂,2
亚代,特鲁瓦,2
泰奥-勒布里斯,洛里昂,2
梅兰,南特,2
穆罕默德-迪亚拉,斯特拉斯堡,2
卡莫里-敦比亚,兰斯,2
奥多贝尔,特鲁瓦,2
哈利勒-法耶兹,蒙彼利埃,2
昆贝迪,里昂,2
