Player,Team Name,Goals
姆巴佩,巴黎圣日耳曼,29
拉卡泽特,里昂,27
乔纳森-戴维,里尔,24
奥蓬达,朗斯,21
巴洛贡,兰斯,21
哈比卜-迪亚洛,斯特拉斯堡,20
本耶德尔,摩纳哥,19
瓦希,蒙彼利埃,19
莫菲,尼斯,18
梅西,巴黎圣日耳曼,16
加埃唐-拉博德,尼斯,15
古伊里,雷恩,15
桑切斯,马赛,14
内马尔,巴黎圣日耳曼,13
萨瓦尼耶,蒙彼利埃,12
恩博洛,摩纳哥,12
巴尔德,特鲁瓦,12
达林加,图卢兹,12
加梅罗,斯特拉斯堡,10
基耶,克莱蒙,10
阿布哈拉勒,图卢兹,10
勒杜阿龙,布雷斯特,10
泰里耶,雷恩,9
诺尔丹,蒙彼利埃,9
戈洛温,摩纳哥,8
穆斯塔法-穆罕默德,南特,8
卡贝拉,里尔,7
托科-埃卡姆比,雷恩,7
罗尼-洛佩斯,特鲁瓦,7
塞科-福法纳,朗斯,7
索托卡,朗斯,7
布里若,雷恩,7
赛义夫-埃丁-哈维,克莱蒙,7
卢多维奇-布拉斯,南特,7
穆内西,兰斯,7
易卜拉希马-科内,洛里昂,7
卡利穆恩多-穆因加,雷恩,7
查姆,克莱蒙,7
德洛尔,南特,6
贝莱利,阿雅克肖,6
尼昂,欧塞尔,6
穆涅,布雷斯特,6
奥诺拉,布雷斯特,6
尼古拉-佩佩,尼斯,6
若纳唐-班巴,里尔,6
德尔卡斯蒂略,布雷斯特,6
伊东纯也,兰斯,6
努诺-塔瓦雷斯,马赛,6
多库,雷恩,6
伊德里西,阿雅克肖,6
泰特,里昂,6
丹戈-瓦塔拉,洛里昂,6
姆本巴,马赛,5
范登博门,图卢兹,5
赛义德,朗斯,5
阿德里安-托马森,朗斯,5
努诺-达科斯塔,欧塞尔,5
弗兰科夫斯基,朗斯,5
西蒙,南特,5
拉斐尔-拉唐,图卢兹,5
里斯-米卢,布雷斯特,5
云代尔,马赛,5
马艾萨,蒙彼利埃,5
克劳德-毛里斯,朗斯,5
阿什拉夫,巴黎圣日耳曼,5
加纳戈,南特,5
费弗尔,洛里昂,5
勒费埃,洛里昂,5
巴尔科拉,里昂,5
西马,昂热,5
沙伊比,图卢兹,5
帕耶,马赛,4
若昂-加斯蒂安,克莱蒙,4
哈兹里,蒙彼利埃,4
德雅热尔,图卢兹,4
巴克利,尼斯,4
沙瓦林,特鲁瓦,4
韦勒图,马赛,4
里帕特,特鲁瓦,4
科拉希纳茨,马赛,4
本塔莱布,昂热,4
鲍法尔,昂热,4
胡努,昂热,4
安德里奇,克莱蒙,4
戴韦尔-马查多,朗斯,4
马维迪迪,蒙彼利埃,4
卡克雷,里昂,4
迪亚塔,摩纳哥,4
弗利普斯,兰斯,4
巴约,里尔,4
谢尔基,里昂,4
阿蒂尔-蒂特,雷恩,4
班巴-迪昂,洛里昂,4
奥多贝尔,特鲁瓦,4
本-萨吉尔,摩纳哥,4
弗兰德,摩纳哥,3
拉沙尼,克莱蒙,3
尤巴尔,欧塞尔,3
阿霍卢,斯特拉斯堡,3
塔迪厄,特鲁瓦,3
安德烈-戈麦斯,里尔,3
马里潘,摩纳哥,3
穆萨-登贝莱,里昂,3
加埃唐-佩兰,欧塞尔,3
法比安-鲁伊斯,巴黎圣日耳曼,3
莫蒂巴,斯特拉斯堡,3
索莱尔,巴黎圣日耳曼,3
迪萨西,摩纳哥,3
路易斯-苏亚雷斯,马赛,3
博阿杜,摩纳哥,3
卡朱斯特,兰斯,3
内托-博尔热斯,克莱蒙,3
热格罗瓦,里尔,3
盖桑,南特,3
迪亚基特,里尔,3
比拉勒-卜拉希米,尼斯,3
亚历山德罗-里贝罗,里尔,3
埃基蒂克,巴黎圣日耳曼,3
阿布林,欧塞尔,3
穆罕默德-迪亚拉,斯特拉斯堡,3
杜埃,雷恩,3
萨拉马,昂热,3
