Team Name,Plays,Wins,loses,Goals scored,Goals Allowed,Goals Differential,Points
那不勒斯,38,28,4,77,28,49,90
拉齐奥,38,22,8,60,30,30,74
国际米兰,38,23,12,71,42,29,72
AC米兰,38,20,8,64,43,21,70
亚特兰大,38,19,12,66,48,18,64
罗马,38,18,11,50,38,12,63
尤文图斯,38,22,10,56,33,23,62
佛罗伦萨,38,15,12,53,43,10,56
博洛尼亚,38,14,12,53,49,4,54
都灵,38,14,13,42,41,1,53
蒙扎,38,14,14,48,52,-4,52
乌迪内斯,38,11,14,47,48,-1,46
萨索洛,38,12,17,47,61,-14,45
恩波利,38,10,15,37,49,-12,43
萨勒尼塔纳,38,9,14,48,62,-14,42
莱切,38,8,18,33,46,-13,36
斯佩齐亚,38,6,19,31,62,-31,31
维罗纳,38,7,21,31,59,-28,31
克雷莫内塞,38,5,21,36,69,-33,27
桑普多利亚,38,3,25,24,71,-47,19
