Player,Team Name,Assists
克瓦拉茨赫利亚,那不勒斯,10,https://sd.qunliao.info/fastdfs6/M00/B8/86/rBUCgGLH4KqAIh_xAAAZSOpZQmw794.jpg
科斯蒂奇,尤文图斯,8,https://sd.qunliao.info/fastdfs6/M00/2F/3E/rBUESWN_nOWASh5TAAAcAG8167o722.jpg
泽林斯基,那不勒斯,8,https://sd.qunliao.info/fastdfs6/M00/02/45/rBUCgGN7x0iAQNTfAAAXoDzZJcM751.jpg
米林科维奇-萨维奇,拉齐奥,8,https://sd.qunliao.info/fastdfs6/M00/2F/38/rBUCgGN_nTOAYF6CAAAaCDFmBbk055.jpg
拉斐尔-莱奥,AC米兰,8,https://sd.qunliao.info/fastdfs6/M00/2C/C9/rBUCgGN_gJ2AWvSHAAAaiO-n2Fo470.jpg
穆萨-巴罗,博洛尼亚,8,https://sd.qunliao.info/fastdfs4/M00/FC/3F/ChMf8F4ix3qAOCqzAAAZ1p7YdsI320.jpg
罗伯托-佩雷拉,乌迪内斯,7,https://sd.qunliao.info/fastdfs3/M00/B6/6A/ChOxM1xC8dOAWRQbAABtA56koSQ002.png
路易斯-阿尔贝托,拉齐奥,7,https://sd.qunliao.info/fastdfs6/M00/30/10/rBUCgGEI8l2AZ-ZRAAAcIsjHW1A939.jpg
贝拉尔迪,萨索洛,7,https://sd.qunliao.info/fastdfs6/M00/1B/61/rBUESWDEIPCAMk8SAAAcavoRf1I214.jpg
卜拉欣-迪亚斯,AC米兰,7,https://sd.qunliao.info/fastdfs6/M00/BB/7E/rBUCgGMVbMqAMUp9AAAcI4ProEE993.jpg
托纳利,AC米兰,7,https://sd.qunliao.info/fastdfs6/M00/BB/94/rBUESWMVbuWAeMDEAAAb1NK5YHU493.jpg
拉佐维奇,维罗纳,6,https://sd.qunliao.info/fastdfs6/M00/2F/3E/rBUCgGN_nYSAGbfvAAAZzjd5Nfg432.jpg
卢卡库,国际米兰,6,https://sd.qunliao.info/fastdfs6/M00/1F/5D/rBUESWN-S0WAGBFmAAAd5e7r-s8902.jpg
马里奥-鲁伊,那不勒斯,6,https://sd.qunliao.info/fastdfs3/M00/B6/AA/ChOxM1xC-CCAKHACAAAqJZAmCq4290.jpg
恰尔汗奥卢,国际米兰,6,https://sd.qunliao.info/fastdfs6/M00/2C/87/rBUCgGMoHxmAeJ_LAAAea6Ao1KY432.jpg
德乌洛费乌,乌迪内斯,6,https://sd.qunliao.info/fastdfs6/M00/7F/4E/rBUCgGMNeqCAJE3EAAAYdlp0AL0931.jpg
迪巴拉,罗马,6,https://sd.qunliao.info/fastdfs6/M00/00/74/rBUCgGN7nJiAdtdTAAAbXztSLn4734.jpg
扎卡尼,拉齐奥,6,https://sd.qunliao.info/fastdfs6/M00/9B/2A/rBUESWQZbtuAfhbdAAAYD1gqT_k455.jpg
弗拉希奇,都灵,6,https://sd.qunliao.info/fastdfs6/M00/0D/52/rBUCgGN82RyAVUKPAAAc8po5LPM097.jpg
伊萨克-苏克塞斯,乌迪内斯,6,https://sd.qunliao.info/fastdfs3/M00/B7/18/ChOxM1xC_y-AbwMpAABsxmNf5SU432.png
巴雷拉,国际米兰,6,https://sd.qunliao.info/fastdfs6/M00/2C/89/rBUCgGMoH4WAQOozAAAeXBKqgNU699.jpg
洛夫里奇,乌迪内斯,6,https://sd.qunliao.info/fastdfs6/M00/8B/61/rBUCgGJCdlmAB9AzAAAcPqywlEM228.jpg
劳塔罗-马丁内斯,国际米兰,6,https://sd.qunliao.info/fastdfs6/M00/00/B7/rBUESWN7n3SAPfoDAAAbnbu7Oc0717.jpg
卢克曼,亚特兰大,6,https://sd.qunliao.info/fastdfs3/M00/B6/0F/ChOxM1xC7ISATiAkAABrxENDskA741.png
劳里恩特,萨索洛,6,https://sd.qunliao.info/fastdfs4/M00/C8/A6/ChNLklyAiT-Ad3eiAAAcvUuPjos308.jpg
布拉耶-迪亚,萨勒尼塔纳,6,https://sd.qunliao.info/fastdfs6/M00/F4/D2/rBUESWN6U8qAXw7FAAAcvEb5N8I681.jpg
吉鲁,AC米兰,5,https://sd.qunliao.info/fastdfs6/M00/02/6F/rBUCgGN71w6AQ-kVAAAcqaH-iBw775.jpg
因莫比莱,拉齐奥,5,https://sd.qunliao.info/fastdfs6/M00/1B/5F/rBUCgGDEIiqAH0w3AAAcGucOrx8744.jpg
布罗佐维奇,国际米兰,5,https://sd.qunliao.info/fastdfs6/M00/0D/69/rBUESWN82ZOAKF6YAAAbwuBHotc174.jpg
奥杰洛,桑普多利亚,5,https://sd.qunliao.info/fastdfs4/M00/FC/40/ChNLkl4i4WWACnzDAAAdaC5ugPo753.jpg
博加,亚特兰大,5,https://sd.qunliao.info/fastdfs3/M00/B6/E0/ChOxM1xC-8OADBNKAABuokX3yRM904.png
佩塔尼亚,蒙扎,5,https://sd.qunliao.info/fastdfs3/M00/B6/E2/ChOxM1xC-9iAIPFFAAB3Y1tdAuY971.png
阿列克谢-米兰丘克,都灵,5,https://sd.qunliao.info/fastdfs3/M00/B6/FB/ChOxM1xC_S-AFMjEAAAeg-OPMZs823.jpg
丘里亚,蒙扎,5,https://sd.qunliao.info/fastdfs6/M00/B2/C3/rBUCgGK1bdWAetqvAAAbeEw6T3Y263.jpg
洛伦佐-佩莱格里尼,罗马,5,https://sd.qunliao.info/fastdfs3/M00/B5/DE/ChOxM1xC6biAbOG9AABl4B1M_yg392.png
皮扬特克,萨勒尼塔纳,5,https://sd.qunliao.info/fastdfs6/M00/02/37/rBUESWN7w5qAA-oKAAAY-VvEf_8397.jpg
沃伊沃达,都灵,5,https://sd.qunliao.info/fastdfs5/M00/40/AF/rB8BO19hcnmAa6ifAAAdzS-7Czk827.jpg
莫罗,博洛尼亚,5,https://sd.qunliao.info/fastdfs4/M00/CA/7D/ChMf8F0IrluAX-jeAAAZAJ9R_8Y736.jpg
赞博-安古伊萨,那不勒斯,5,https://sd.qunliao.info/fastdfs6/M00/21/B5/rBUESWN-cm-AcaybAAAhPMaSRZA360.jpg
费德里科-基耶萨,尤文图斯,5,https://sd.qunliao.info/fastdfs4/M00/C9/01/ChMf8FybS9KAGPvDAAAcX06NGWA029.jpg
卡洛斯-奥古斯托,蒙扎,5,https://sd.qunliao.info/fastdfs6/M00/B2/D7/rBUCgGK1mJGANTlXAAAZ6AVIZ9M040.jpg
迪马利亚,尤文图斯,4,https://sd.qunliao.info/fastdfs6/M00/00/8C/rBUESWN7nTCAWjXVAAAaWosCakE071.jpg
坎德雷瓦,萨勒尼塔纳,4,https://sd.qunliao.info/fastdfs3/M00/B5/D2/ChOxM1xC6QOARy6cAAB0nYi_FO4256.png
卡普托,恩波利,4,https://sd.qunliao.info/fastdfs6/M00/81/34/rBUCgGMNsoCAUEgDAAAcznH-U_I194.jpg
